id,kor_name,en_name,type,image_url,image_url_small,image_url_cropped
2511,라뷰린스 쿠클락,Labrynth Cooclock,Effect Monster,https://images.ygoprodeck.com/images/cards/2511.jpg,https://images.ygoprodeck.com/images/cards_small/2511.jpg,https://images.ygoprodeck.com/images/cards_cropped/2511.jpg
10000,텐사우전드 드래곤,Ten Thousand Dragon,Effect Monster,https://images.ygoprodeck.com/images/cards/10000.jpg,https://images.ygoprodeck.com/images/cards_small/10000.jpg,https://images.ygoprodeck.com/images/cards_cropped/10000.jpg
27551,리미트 리버스,Limit Reverse,Trap Card,https://images.ygoprodeck.com/images/cards/27551.jpg,https://images.ygoprodeck.com/images/cards_small/27551.jpg,https://images.ygoprodeck.com/images/cards_cropped/27551.jpg
32864,13번째 매장자,The 13th Grave,Normal Monster,https://images.ygoprodeck.com/images/cards/32864.jpg,https://images.ygoprodeck.com/images/cards_small/32864.jpg,https://images.ygoprodeck.com/images/cards_cropped/32864.jpg
35699,SPYRAL-보텍스,SPYRAL Sleeper,Effect Monster,https://images.ygoprodeck.com/images/cards/35699.jpg,https://images.ygoprodeck.com/images/cards_small/35699.jpg,https://images.ygoprodeck.com/images/cards_cropped/35699.jpg
39015,버스터 스나이퍼,Assault Sentinel,Effect Monster,https://images.ygoprodeck.com/images/cards/39015.jpg,https://images.ygoprodeck.com/images/cards_small/39015.jpg,https://images.ygoprodeck.com/images/cards_cropped/39015.jpg
41546,DD마도현자 토마스,D/D Savant Thomas,Pendulum Effect Monster,https://images.ygoprodeck.com/images/cards/41546.jpg,https://images.ygoprodeck.com/images/cards_small/41546.jpg,https://images.ygoprodeck.com/images/cards_cropped/41546.jpg
41777,젬 인한스,Gem-Enhancement,Trap Card,https://images.ygoprodeck.com/images/cards/41777.jpg,https://images.ygoprodeck.com/images/cards_small/41777.jpg,https://images.ygoprodeck.com/images/cards_cropped/41777.jpg
43227,매그넘 더 릴리버,Magnum the Reliever,Fusion Monster,https://images.ygoprodeck.com/images/cards/43227.jpg,https://images.ygoprodeck.com/images/cards_small/43227.jpg,https://images.ygoprodeck.com/images/cards_cropped/43227.jpg
44818,홀리나이츠 오르비타엘,Starry Knight Orbitael,Effect Monster,https://images.ygoprodeck.com/images/cards/44818.jpg,https://images.ygoprodeck.com/images/cards_small/44818.jpg,https://images.ygoprodeck.com/images/cards_cropped/44818.jpg
50755,매지션즈 서클,Magician's Circle,Trap Card,https://images.ygoprodeck.com/images/cards/50755.jpg,https://images.ygoprodeck.com/images/cards_small/50755.jpg,https://images.ygoprodeck.com/images/cards_cropped/50755.jpg
56889,경투-크로스 디멘션,Cross-Dimensional Duel,Trap Card,https://images.ygoprodeck.com/images/cards/56889.jpg,https://images.ygoprodeck.com/images/cards_small/56889.jpg,https://images.ygoprodeck.com/images/cards_cropped/56889.jpg
62121,암흑의 성,Castle of Dark Illusions,Flip Effect Monster,https://images.ygoprodeck.com/images/cards/62121.jpg,https://images.ygoprodeck.com/images/cards_small/62121.jpg,https://images.ygoprodeck.com/images/cards_cropped/62121.jpg
96540,다운비트,Downbeat,Spell Card,https://images.ygoprodeck.com/images/cards/96540.jpg,https://images.ygoprodeck.com/images/cards_small/96540.jpg,https://images.ygoprodeck.com/images/cards_cropped/96540.jpg
98905,사이퍼 스펙트럼,Cipher Spectrum,Trap Card,https://images.ygoprodeck.com/images/cards/98905.jpg,https://images.ygoprodeck.com/images/cards_small/98905.jpg,https://images.ygoprodeck.com/images/cards_cropped/98905.jpg
102380,용암 마신 라바 골렘,Lava Golem,Effect Monster,https://images.ygoprodeck.com/images/cards/102380.jpg,https://images.ygoprodeck.com/images/cards_small/102380.jpg,https://images.ygoprodeck.com/images/cards_cropped/102380.jpg
109401,암흑차원의 전사,Dark Dimension Soldier,Synchro Monster,https://images.ygoprodeck.com/images/cards/109401.jpg,https://images.ygoprodeck.com/images/cards_small/109401.jpg,https://images.ygoprodeck.com/images/cards_cropped/109401.jpg
111280,매직 익스팬드,Dark Magic Expanded,Spell Card,https://images.ygoprodeck.com/images/cards/111280.jpg,https://images.ygoprodeck.com/images/cards_small/111280.jpg,https://images.ygoprodeck.com/images/cards_cropped/111280.jpg
114932,플레이트 크래셔,Seismic Crasher,Effect Monster,https://images.ygoprodeck.com/images/cards/114932.jpg,https://images.ygoprodeck.com/images/cards_small/114932.jpg,https://images.ygoprodeck.com/images/cards_cropped/114932.jpg
122520,EM스카이 퓨필,Performapal Sky Pupil,Effect Monster,https://images.ygoprodeck.com/images/cards/122520.jpg,https://images.ygoprodeck.com/images/cards_small/122520.jpg,https://images.ygoprodeck.com/images/cards_cropped/122520.jpg
123709,라바르 란스로드,Laval Lancelord,Effect Monster,https://images.ygoprodeck.com/images/cards/123709.jpg,https://images.ygoprodeck.com/images/cards_small/123709.jpg,https://images.ygoprodeck.com/images/cards_cropped/123709.jpg
126218,악마의 주사위,Skull Dice,Trap Card,https://images.ygoprodeck.com/images/cards/126218.jpg,https://images.ygoprodeck.com/images/cards_small/126218.jpg,https://images.ygoprodeck.com/images/cards_cropped/126218.jpg
128454,EM스프링구스,Performapal Springoose,Effect Monster,https://images.ygoprodeck.com/images/cards/128454.jpg,https://images.ygoprodeck.com/images/cards_small/128454.jpg,https://images.ygoprodeck.com/images/cards_cropped/128454.jpg
131182,미러클플립퍼,Miracle Flipper,Effect Monster,https://images.ygoprodeck.com/images/cards/131182.jpg,https://images.ygoprodeck.com/images/cards_small/131182.jpg,https://images.ygoprodeck.com/images/cards_cropped/131182.jpg
132308,육화의 하얀 공주,Rikka Princess,Effect Monster,https://images.ygoprodeck.com/images/cards/132308.jpg,https://images.ygoprodeck.com/images/cards_small/132308.jpg,https://images.ygoprodeck.com/images/cards_cropped/132308.jpg
135598,키 마우스,Key Mouse,Tuner Monster,https://images.ygoprodeck.com/images/cards/135598.jpg,https://images.ygoprodeck.com/images/cards_small/135598.jpg,https://images.ygoprodeck.com/images/cards_cropped/135598.jpg
146746,기관중련 앵거 너클,Double Headed Anger Knuckle,Link Monster,https://images.ygoprodeck.com/images/cards/146746.jpg,https://images.ygoprodeck.com/images/cards_small/146746.jpg,https://images.ygoprodeck.com/images/cards_cropped/146746.jpg
164710,소인의 장난,Mischief of the Gnomes,Trap Card,https://images.ygoprodeck.com/images/cards/164710.jpg,https://images.ygoprodeck.com/images/cards_small/164710.jpg,https://images.ygoprodeck.com/images/cards_cropped/164710.jpg
